t,abs_zeta,abs_prod,ratio,delta,score,smooth_abs_zeta,smooth_score
41.652755,8.970645016425e-01,8.674244074684e-01,9.669587926845e-01,-2.964009417409e-02,7.502811332319e-02,8.720835883816e-01,2.939397056863e-01
41.719533,9.510751770989e-01,5.762678194951e-01,6.059119545659e-01,-3.748073576038e-01,-4.508584239797e-01,9.240573423904e-01,8.951621913474e-02
41.786311,9.991933236526e-01,4.701369748223e-01,4.705165293776e-01,-5.290563488303e-01,-7.531171871734e-01,9.699549495675e-01,-5.268016824313e-02
41.853088,1.040834661990e+00,6.439170274253e-01,6.186544808128e-01,-3.969176345645e-01,-5.202313023403e-01,1.009352938391e+00,-1.321539221817e-01
41.919866,1.075395973383e+00,9.096230776371e-01,8.458494360694e-01,-1.657728957456e-01,-2.401028478530e-01,1.041838375225e+00,-1.597358018115e-01
41.986644,1.102315192642e+00,1.147677573729e+00,1.041151914978e+00,4.536238108685e-02,-5.708497780569e-02,1.067034696263e+00,-1.548474300068e-01
42.053422,1.121128957767e+00,1.313617758527e+00,1.171691935550e+00,1.924888007598e-01,4.411262735138e-02,1.084626782963e+00,-1.394730977156e-01
42.120200,1.131518485996e+00,1.387225802959e+00,1.225985982666e+00,2.557073169630e-01,8.018488050101e-02,1.094382704585e+00,-1.314634369814e-01
42.186978,1.133336652201e+00,1.361215748331e+00,1.201069201889e+00,2.278790961299e-01,5.804609029951e-02,1.096166331955e+00,-1.393689031029e-01
42.253756,1.126611977563e+00,1.239227372422e+00,1.099959344567e+00,1.126153948588e-01,-2.394165938702e-02,1.089938630968e+00,-1.601822228017e-01
42.320534,1.111528564331e+00,1.036659721347e+00,9.326433477411e-01,-7.486884298342e-02,-1.754685681543e-01,1.075747327406e+00,-1.803859510343e-01
42.387312,1.088384554089e+00,7.865856513545e-01,7.227093111524e-01,-3.017989027343e-01,-4.094427333686e-01,1.053706573956e+00,-1.799952951707e-01
42.454090,1.057535127220e+00,5.659189725442e-01,5.351301890386e-01,-4.916161546758e-01,-6.811860663079e-01,1.023969988895e+00,-1.385669973890e-01
42.520868,1.019328967986e+00,5.402146101879e-01,5.299708211522e-01,-4.791143577984e-01,-6.540778646599e-01,9.867041865517e-01,-4.142446437524e-02
42.587646,9.740489239634e-01,7.578500044415e-01,7.780410057411e-01,-2.161989195218e-01,-2.246823029253e-01,9.420656856422e-01,1.163042140932e-01
42.654424,9.218676868781e-01,1.060488357459e+00,1.150369377899e+00,1.386206705811e-01,2.214366613386e-01,8.901969315052e-01,3.293342296494e-01
42.721202,8.628273075256e-01,1.350751826516e+00,1.565494989246e+00,4.879245189907e-01,5.957427761197e-01,8.312577383012e-01,5.856670011863e-01
42.787980,7.968473005791e-01,1.583855422908e+00,1.987652366716e+00,7.870081223285e-01,9.140464384038e-01,7.655229867838e-01,8.719801289982e-01
42.854758,7.237607052422e-01,1.733376020676e+00,2.394957350021e+00,1.009615315434e+00,1.196659881631e+00,6.935882346619e-01,1.178158116107e+00
42.921536,6.433719819486e-01,1.782600074777e+00,2.770714493003e+00,1.139228092828e+00,1.460137438639e+00,6.167174689171e-01,1.498499414792e+00
42.988314,5.555264130672e-01,1.722832505180e+00,3.101261190566e+00,1.167306092113e+00,1.719647987179e+00,5.373141197766e-01,1.828626554106e+00
43.055092,4.601787600621e-01,1.553326024939e+00,3.375483963513e+00,1.093147264877e+00,1.992678966798e+00,4.593837621473e-01,2.159254224569e+00
43.121870,3.574497792408e-01,1.281385166970e+00,3.584797757300e+00,9.239353877289e-01,2.305462463240e+00,3.887239727963e-01,2.470147586100e+00
43.188648,2.476635922077e-01,9.221093859491e-01,3.723233510947e+00,6.744457937414e-01,2.710276450809e+00,3.325325834212e-01,2.728691265260e+00
43.255426,1.313794371662e-01,4.976010175189e-01,3.787510650465e+00,3.662215803528e-01,3.361374658377e+00,2.982881278503e-01,2.896047119252e+00
43.322204,1.125560534587e-02,4.251294108422e-02,3.777046171915e+00,3.125733573836e-02,5.815831289603e+00,2.921238515853e-01,2.939633283182e+00
43.388982,1.184368319971e-01,4.374916006818e-01,3.693881314661e+00,3.190547686847e-01,3.440053275892e+00,3.172896198064e-01,2.845927598500e+00
43.455760,2.496771706674e-01,8.844865942775e-01,3.542520895736e+00,6.348094236101e-01,2.652425104069e+00,3.733834533071e-01,2.626193644453e+00
43.522538,3.842035377125e-01,1.279278161347e+00,3.329688656601e+00,8.950746236349e-01,2.159461623798e+00,4.567059260736e-01,2.311575414623e+00
43.589316,5.211509207216e-01,1.596810452985e+00,3.064007736519e+00,1.075659532263e+00,1.771439380936e+00,5.615337327482e-01,1.940496437331e+00
43.656093,6.598437092416e-01,1.818278465378e+00,2.755619914097e+00,1.158434756136e+00,1.429394707668e+00,6.816974180161e-01,1.545527388688e+00
43.722871,7.997994819514e-01,1.932124617713e+00,2.415761276812e+00,1.132325135761e+00,1.105408696217e+00,8.118301607425e-01,1.146057846848e+00
43.789649,9.407339288945e-01,1.934446671173e+00,2.056316469255e+00,9.937127422786e-01,7.820111934278e-01,9.479662419486e-01,7.487301204784e-01
