t,abs_zeta,neglog,mollifier_score
34.264080,2.077064863452e+00,-7.309557742822e-01,-5.280730690315e-01
34.326033,2.162647743167e+00,-7.713332784920e-01,-5.804026891295e-01
34.387985,2.243997981474e+00,-8.082590885842e-01,-6.289769288196e-01
34.449937,2.320880088595e+00,-8.419464627070e-01,-6.738544341806e-01
34.511890,2.393221425386e+00,-8.726403355214e-01,-7.151251752655e-01
34.573842,2.461096009803e+00,-9.006067835706e-01,-7.529017860870e-01
34.635795,2.524687977331e+00,-9.261174821532e-01,-7.873129925027e-01
34.697747,2.584238735697e+00,-9.494309720152e-01,-8.185008351523e-01
34.759700,2.639984478640e+00,-9.707730382166e-01,-8.466285846954e-01
34.821652,2.692092665292e+00,-9.903188340326e-01,-8.719549356938e-01
34.883605,2.740606850175e+00,-1.008179374408e+00,-8.943280412794e-01
34.945557,2.785408525213e+00,-1.024394550669e+00,-9.133290598239e-01
35.007509,2.826202373244e+00,-1.038933893250e+00,-9.294238856028e-01
35.069462,2.862527875656e+00,-1.051705107403e+00,-9.427986478772e-01
35.131414,2.893796224245e+00,-1.062569212892e+00,-9.535624327929e-01
35.193367,2.919347740065e+00,-1.071360214980e+00,-9.617830765005e-01
35.255319,2.938522165652e+00,-1.077906790568e+00,-9.674995809026e-01
35.317272,2.950732649897e+00,-1.082053495753e+00,-9.707272310394e-01
35.379224,2.955534036991e+00,-1.083679358046e+00,-9.714592062703e-01
35.441176,2.952677004967e+00,-1.082712218509e+00,-9.696656098274e-01
35.503129,2.942141370002e+00,-1.079137673711e+00,-9.652894343130e-01
35.565081,2.924144190909e+00,-1.073001853910e+00,-9.582368525671e-01
35.627034,2.899120967173e+00,-1.064407576621e+00,-9.483516295826e-01
35.688986,2.867681092699e+00,-1.053503721889e+00,-9.353079600075e-01
35.750939,2.830541692445e+00,-1.040468104450e+00,-9.189113674199e-01
35.812891,2.788446849347e+00,-1.025484756363e+00,-8.998861501453e-01
35.874844,2.742081706821e+00,-1.008717379318e+00,-8.778573123151e-01
35.936796,2.691992541334e+00,-9.902816414718e-01,-8.526460288290e-01
35.998748,2.638524102074e+00,-9.702197089644e-01,-8.241020003380e-01
36.060701,2.581783865942e+00,-9.484805813073e-01,-7.920884315654e-01
36.122653,2.521639214732e+00,-9.249091724849e-01,-7.564832961230e-01
36.184606,2.457748289265e+00,-8.992456016142e-01,-7.171855163399e-01
36.246558,2.389619510976e+00,-8.711341532596e-01,-6.741236293372e-01
36.308511,2.316690218913e+00,-8.401395377259e-01,-6.272660607229e-01
36.370463,2.238413039899e+00,-8.057671509034e-01,-5.766324477063e-01
36.432416,2.154339370064e+00,-7.674841202068e-01,-5.223054717688e-01
36.494368,2.064191046748e+00,-7.247384052293e-01,-4.644425913291e-01
36.556320,1.967912832382e+00,-6.769735056682e-01,-4.032869762815e-01
36.618273,1.865700195923e+00,-6.236364233450e-01,-3.391768707766e-01
36.680225,1.757999659363e+00,-5.641766060678e-01,-2.725525682713e-01
36.742178,1.645482250818e+00,-4.980335034529e-01,-2.039601884932e-01
36.804130,1.528993557748e+00,-4.246097142162e-01,-1.340515101344e-01
36.866083,1.409486117742e+00,-3.432251831676e-01,-6.357924172549e-02
36.928035,1.287941468431e+00,-2.530451836613e-01,6.612693392827e-03
36.989987,1.165290235821e+00,-1.529701863087e-01,7.560402967077e-02
37.051940,1.042339167153e+00,-4.146738763638e-02,1.424180621911e-01
37.113892,9.197138286307e-01,8.369271207583e-02,2.060461252695e-01
37.175845,7.978245041098e-01,2.258666241267e-01,2.654758604368e-01
37.237797,6.768604101340e-01,3.902902147238e-01,3.197221773583e-01
37.299750,5.568137019015e-01,5.855245601686e-01,3.678595503994e-01
37.361702,4.375303543174e-01,8.266091920088e-01,4.090541074295e-01
37.423655,3.187809689868e-01,1.143251026486e+00,4.425938769628e-01
37.485607,2.003437970516e-01,1.607720397949e+00,4.679155786684e-01
37.547559,8.212645565866e-02,2.499495065243e+00,4.846264754591e-01
37.609512,3.665082854563e-02,3.306319216646e+00,4.925200476328e-01
37.671464,1.542716352048e-01,1.869040358903e+00,4.915845857533e-01
37.733417,2.715458223197e-01,1.303624375508e+00,4.820042051206e-01
37.795369,3.877278497814e-01,9.474516009777e-01,4.641522300484e-01
37.857322,5.021611792191e-01,6.888341346907e-01,4.385773461312e-01
37.919274,6.141203834428e-01,4.875643041856e-01,4.059833381370e-01
37.981227,7.228603443367e-01,3.245392354581e-01,3.672035878921e-01
38.043179,8.276742830088e-01,1.891355787908e-01,3.231717743783e-01
38.105131,9.279465343521e-01,7.478116062274e-02,2.748903795176e-01
38.167084,1.023193212910e+00,-2.292833903794e-02,2.233986500911e-01
38.229036,1.113086228364e+00,-1.071365440134e-01,1.697416016509e-01
38.290989,1.197458147062e+00,-1.802011002655e-01,1.149414866117e-01
