t,abs_zeta
46.611853,2.749245647458e+00
46.694491,2.596318819739e+00
46.777129,2.436634774037e+00
46.859766,2.272141042585e+00
46.942404,2.104444897322e+00
47.025042,1.934707044325e+00
47.107679,1.763645952081e+00
47.190317,1.591647379409e+00
47.272955,1.418947902264e+00
47.355593,1.245843919917e+00
47.438230,1.072874127542e+00
47.520868,9.009338852222e-01
47.603506,7.312995401395e-01
47.686144,5.655628114276e-01
47.768781,4.054941521549e-01
47.851419,2.528664940206e-01
47.934057,1.092762536410e-01
48.016694,2.400311510843e-02
48.099332,1.461030448046e-01
48.181970,2.565683585020e-01
48.264608,3.552795784172e-01
48.347245,4.423177253495e-01
48.429883,5.177994177763e-01
48.512521,5.817264879330e-01
48.595159,6.338892887051e-01
48.677796,6.738480324470e-01
48.760434,7.009944259942e-01
48.843072,7.146745190236e-01
48.925710,7.143397659606e-01
49.008347,6.996895839898e-01
49.090985,6.707739635584e-01
49.173623,6.280356857904e-01
49.256260,5.722851103953e-01
49.338898,5.046139249647e-01
49.421536,4.262661375754e-01
49.504174,3.384936950904e-01
49.586811,2.424292818247e-01
49.669449,1.390126229576e-01
49.752087,2.919780925264e-02
49.834725,8.756675821169e-02
49.917362,2.093866419236e-01
50.000000,3.363316925258e-01
